crunchbase_Organization Name,crunchbase_IPO Status,crunchbase_Industries,crunchbase_Number of Employees,crunchbase_Headquarters Location,crunchbase_CB Rank (Company),crunchbase_Similar Companies,crunchbase_Acquisition Type,crunchbase_Price (in USD),crunchbase_Number of Investors,crunchbase_Number of Lead Investors,crunchbase_Top 5 Investors,crunchbase_Total Funding Amount (in USD),crunchbase_Last Equity Funding Type,crunchbase_Last Equity Funding Amount (in USD),crunchbase_Last Funding Amount (in USD),crunchbase_Funding Status,crunchbase_Number of Funding Rounds,crunchbase_Founders,crunchbase_Number of Founders,crunchbase_Exit Date,crunchbase_Founded Date,crunchbase_Operating Status,crunchbase_Estimated Revenue Range,crunchbase_Postal Code,anagrafica_Ragione sociale,anagrafica_Provincia,anagrafica_Indirizzo sede legale - Codice postale,anagrafica_Indirizzo sede legale - Regione,anagrafica_Sede operativa,anagrafica_Sede operativa - Provincia,anagrafica_Sede operativa - Codice postale,anagrafica_Sede operativa - Regione - Regione,"anagrafica_ATECO 2007
codice",anagrafica_Anno di costituzione,anagrafica_Fondazione,anagrafica_Stato giuridico,anagrafica_Forma giuridica
Power.it,Private,"Electrical Distribution, Renewable Energy",11-50,"Bergamo, Lombardia, Italy","3,299,784",6.0,,,,,,,,,,,,,,,2019-01-01,Active,,24125,POWER.IT S.R.L.,Bergamo,24125.0,Lombardia,,,,,352300.0,31/01/2019,,Attiva,S.R.L.
ParkingMyCar,Private,"Autonomous Vehicles, Parking, Transportation, Travel",11-50,"Perugia, Umbria, Italy","93,173",10.0,,,2.0,,"Sviluppo Imprese Centro Italia, MTI Holding",667992.0,Seed,667992.0,667992.0,Seed,1.0,,,,2019-01-01,Active,Less than $1M,6132,PARKINGMYCAR ITALIA S.R.L.,Perugia,6012.0,Umbria,,,,,799019.0,02/10/2019,,Attiva,S.R.L.
Hinovia,Private,"Event Management, Marketing, Training, Web Design",11-50,"Treviso, Veneto, Italy","1,951,223",10.0,,,,,,,,,,,,"Andrea Fiorio, Bartolomeo Foscarino, Cristiana Carta",3.0,,2020-01-01,Active,,,HINOVIA SRL,Treviso,31100.0,Veneto,VIA SIORA ANDRIANA DEL VESCOVO 5 C,Treviso,31100.0,VENETO,823000.0,03/12/2020,,Attiva,S.R.L.
Open Energy,Private,"Pollution Control, Renewable Energy, Solar",1-10,"Messina, Sicilia, Italy","2,352,186",15.0,,,,,,,,,,,,,,,2018-01-01,Active,,98123,OPEN ENERGIA S.R.L.,Milano,20124.0,Lombardia,,,,,279009.0,10/05/2022,,Attiva,S.R.L.
Show Reel Agency,Private,"Advertising, Content, Creative Agency, Translation Service",11-50,"Milan, Lombardia, Italy","1,352,376",11.0,,,,,,,,,,,,,,,2019-01-01,Active,,20158,SHOW REEL AGENCY S.R.L.,Milano,20129.0,Lombardia,VIA GIUSEPPE CANDIANI 127,Milano,20158.0,LOMBARDIA,731102.0,07/03/2019,,Attiva,S.R.L.
Donkid,Private,"Children, E-Commerce, Fashion, Retail",1-10,"Cazzago San Martino, Lombardia, Italy","2,208,523",16.0,,,,,,,,,,,,Luke Danes,1.0,,2018-01-01,Active,$1M to $10M,25046,DONKI S.R.L.,Bologna,40124.0,Emilia-Romagna,,,,,620100.0,24/02/2020,,Attiva,S.R.L.
Kimera Automobili,Private,"Automotive, Machinery Manufacturing, Manufacturing, Sports",1-10,"Cuneo, Piemonte, Italy","379,343",10.0,,,,,,,,,,,,Luca Betti,1.0,,2019-01-01,Active,,12100,KIMERA AUTOMOBILI S.R.L.,Cuneo,12100.0,Piemonte,,,,,291000.0,20/05/2020,,Attiva,S.R.L.
Cosmic,Private,"Advertising, Video, Video Editing",1-10,"Milan, Lombardia, Italy","496,034",3.0,,,,,,,,,,,,,,,2021-01-01,Active,,,COSMIC S.R.L.,Milano,20121.0,Lombardia,VIA BERGAMO 7,Milano,20135.0,LOMBARDIA,620100.0,03/03/2021,,Attiva,S.R.L.
Apr Aerospace,Private,"Aerospace, Construction, Product Design",,"Torino, Piemonte, Italy","2,908,471",9.0,,,,,,,,,,,,,,,2020-01-01,Active,,10128,APR AEROSPACE S.R.L.,Torino,10128.0,Piemonte,,,,,711220.0,02/11/2020,,Attiva,S.R.L.
Neyen,Private,"Energy, Energy Efficiency, Heating, Ventilation, and Air Conditioning (HVAC), Renewable Energy",1-10,"Bergamo, Lombardia, Italy","840,533",9.0,,,,,,,,,,,,,,,2022-01-01,Active,,24124,NEYEN SRL,Bergamo,24124.0,Lombardia,,,,,711220.0,23/02/2022,,Attiva,S.R.L.
