Organization Name,Organization Name URL,IPO Status,Company Type,Industries,Number of Employees,Headquarters Location,CB Rank (Organization),Stage,CB Rank (Company),Stock Symbol,Stock Symbol URL,Similar Companies,CB Rank (School),Number of Events,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Delisted Date,Delisted Date Precision,IPO Date,Acquisition Terms,Acquisition Type,Price,Price Currency,Price (in USD),Announced Date,Announced Date Precision,Acquired by,Acquired by URL,Transaction Name,Transaction Name URL,Acquisition Status,Number of Acquisitions,Number of Investors,Number of Lead Investors,Top 5 Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Date,Funding Status,Number of Funding Rounds,Founders,Number of Founders,Industry Groups,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Investment Stage,Investor Type,Full Description,Phone Number,Contact Email,LinkedIn,Website,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Operating Status,Description,Estimated Revenue Range,Postal Code,Headquarters Regions,Number of Portfolio Organizations
Electrolux Professional,https://www.crunchbase.com/organization/electrolux-professional,Public,For Profit,"Laundry and Dry-cleaning, Machinery Manufacturing",1001-5000,"Pordenone, Friuli-Venezia Giulia, Italy","3,453",,"2,808",ECTXF,https://www.crunchbase.com/ipo/electrolux-professional-ipo--6d643d0f,11.0,,,OTC Pink,,,,,,,,,2020-05-27,,,,,,,,,,,,Made Acquisitions,1.0,,,,140000000.0,EUR,137227995.0,,,,,Post-IPO Debt,140000000.0,EUR,137227995.0,2022-09-30,IPO,1.0,Axel Wenner-Gren,1.0,"Clothing and Apparel, Manufacturing",,,,,,"Electrolux Professional is a global provider of food service, beverage, and laundry solutions for a wide range of customers including restaurants, hotels, healthcare, educational, and other service facilities. Combi ovens, cooking ranges, refrigerated cabinets, chillers, and dishwashing equipment are among Electrolux Professional's products, as are coffee grinders, coffee machines, hot beverage dispensers, cold beverage and juice dispensers, frozen drink and ice cream dispensers, commercial washers, tumble dryers, drying cabinets, ironers, and related specialty accessories and systems. The company focuses on solutions that require high-performance, dependable equipment.",,,https://www.linkedin.com/company/electrolux-professional/,https://www.electroluxprofessional.com,,,2020-05-27,day,2019-01-01,day,Active,"Electrolux Professional is a global provider of food service, beverage, and laundry solutions.",$1B to $10B,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Akamas,https://www.crunchbase.com/organization/akamas,Private,For Profit,"Analytics, Application Performance Management, Artificial Intelligence (AI), Cloud Computing, Cloud Management, Enterprise Software, Machine Learning, SaaS, Software",11-50,"Milan, Lombardia, Italy","4,411",,"3,623",,,13.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,United Ventures,10000000.0,USD,10000000.0,Seed,10000000.0,USD,10000000.0,Seed,10000000.0,USD,10000000.0,2025-02-11,Seed,1.0,"Luca Forni, Stefano Doni",2.0,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,,,,,"Akamas is the autonomous optimization platform that maximizes application performance, service reliability, and cloud cost savings.  Akamas helps performance engineers, developers, DevOps, platform engineers, and SREs be more productive, prevent incidents, and achieve aggressive optimization goals at enterprise scale.  Unlike infrastructure-focused cloud optimization tools, Akamas is application-aware, meaning that it optimizes full-stack configurations, taking into account application performance and reliability signals, SLOs, and user-defined constraints.  With support for both continuous optimization of live applications in production environments, and automated performance tuning of applications in test/pre-production, Akamas uses reinforcement learning AI, observability data, and safety constraints to autonomously identify and apply the best system configurations to achieve cost, performance, and reliability goals.  Founded by veterans in performance engineering, Akamas counts AWS, Dynatrace, Google Cloud, Gremlin, Mia-Platform, Micro Focus, RedHat, Tricentis, and Splunk among its technology partners. Akamas customers include leading financial services, SaaS software, and online consumer services brands.   Akamas is headquartered in Milan, with offices in Boston, Los Angeles, and Singapore.",,info@akamas.io,https://www.linkedin.com/company/akamaslabs/,https://www.akamas.io/,,,,,2019-01-01,year,Active,"Akamas AI safely optimizes application workloads for maximum performance, service quality, resilience and cost.",$1M to $10M,20158,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Cardo AI,https://www.crunchbase.com/organization/cardo-ai,Private,For Profit,"Artificial Intelligence (AI), Financial Services, FinTech, Software",101-250,"Milan, Lombardia, Italy","4,768",,"3,911",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,"FINTOP Capital, Fasanara Capital, JAM FINTOP, Digital Magics, Blackstone Innovations Investments",18947015.0,USD,18947015.0,Series A,15000000.0,USD,15000000.0,Series A,15000000.0,USD,15000000.0,2024-11-20,Early Stage Venture,3.0,"Altin Kadareja, Daniele Forza, Euron Metaliaj",3.0,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,,,,,"Cardo AI is the software, intelligence and infrastructure company innovating the structured finance market that helps investors, issuers, servicers and lenders transact faster, better, and with lower costs. Our technology has facilitated the efficient management of over €18bn assets,  standardizing data coming from 100+ systems all over the world. Access your demo today: https://cardoai.com/request-a-demo/ Want to come to innovate with us? Check our job openings:  https://cardoai.com/talent/",,hello@cardoai.com,https://it.linkedin.com/company/cardoai,https://cardoai.com/,,,,,2018-01-01,year,Active,Cardo AI is a fintech company that offers artificial intelligence and data analytics to the structured finance market.,$10M to $50M,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Fabrick,https://www.crunchbase.com/organization/fabrick,Private,For Profit,"Banking, Finance, Financial Services, FinTech, Payments",251-500,"Milan, Lombardia, Italy","6,525",,"5,454",,,58.0,,8.0,,,,,,,,,,,,,,,,,,,,,,Made Acquisitions,3.0,2.0,2.0,"Mastercard, Reale Group",40000000.0,EUR,42778461.0,Venture - Series Unknown,,,,Venture - Series Unknown,,,,2023-06-06,,2.0,"Alberto Mussinatto, Marco Casartelli, Paolo Zaccardi",3.0,"Financial Services, Lending and Investments, Payments",,,,,,"Fabrick is a  financial services company that enables exchange between players that discover, collaborate, and create innovative solutions for end customers, through an API platform. The company specializes in the fields of banking, fintech, and information technology.",,,https://www.linkedin.com/company/fabrickfinance,https://www.fabrick.com,,,,,2018-01-01,year,Active,Fabrick is a financial services company that offers solutions to provide their customers with a wide range of digital payments.,$1M to $10M,20124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",12.0
Exein,https://www.crunchbase.com/organization/exein,Private,For Profit,"Cyber Security, Information Technology, Internet of Things, Network Security, Software",11-50,"Roma, Lazio, Italy","7,541",,"6,305",,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,"Partech, Redstone.VC, United Ventures, eCAPITAL ENTREPRENEURIAL PARTNERS, 33N Ventures",23000000.0,EUR,25668223.0,Series B,15000000.0,EUR,16382253.0,Series B,15000000.0,EUR,16382253.0,2024-07-12,Early Stage Venture,3.0,Gianni Cuozzo,1.0,"Information Technology, Internet Services, Privacy and Security, Software",,,,,,"The firmware security software and middleware can be injected like a vaccine in the hardware and aims to defend it from inside, working directly into the firmware at a lower level.",,info@exein.io,https://www.linkedin.com/company/exein,https://www.exein.io,,,,,2018-07-01,month,Active,Exein is a firmware-focused cybersecurity startup that develops an open-source IoT security framework.,$1B to $10B,196,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
NextChem,https://www.crunchbase.com/organization/nextchem-aac0,Private,For Profit,"Carbon Capture, Chemical, Energy, Energy Efficiency, Environmental Consulting, Renewable Energy",101-250,"Via Di Mezzo Di Sopra, Veneto, Italy","8,132",,"6,834",,,,,,,,,,,,,,,,,,,,,,,,,,,Made Acquisitions,1.0,2.0,2.0,"SACE, Yousef Al Nowais",187500000.0,EUR,195082848.0,,,,,Debt Financing,125000000.0,EUR,129045979.0,2025-01-02,,2.0,"Mario Dragoni, Matteo Dragoni",2.0,"Energy, Professional Services, Science and Engineering, Sustainability",,,,,,"NextChem is the green chemistry subsidiary of Maire Tecnimont, an Italian multinational company specializing in engineering, technology, and energy. NextChem focuses on the energy transition by developing and deploying innovative solutions for sustainable industrial processes. It aims to accelerate decarbonization and promote the circular economy through advanced technologies.",,info@mairetecnimont.it,https://www.linkedin.com/company/nextchem,https://www.nextchem.it,,,,,2018-01-01,year,Active,NextChem develops energy transition solutions for industries through sustainable technology.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Krill Design,https://www.crunchbase.com/organization/krill-design,Private,For Profit,"3D Printing, Graphic Design, Product Design",1-10,"Milano, Lombardia, Italy","8,556",,"7,234",,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,"Primo Capital, Algebris Investments, Crédit Agricole Italia",6000000.0,EUR,6218499.0,Series A,6000000.0,EUR,6218499.0,Series A,6000000.0,EUR,6218499.0,2025-02-11,Early Stage Venture,1.0,"Ivan Calimani, Martina Lamperti, Yack Humberto Di Maio",3.0,"Design, Manufacturing",,,,,,Krill Design is a design studio that creates circular economy projects to convert organic waste into material resources. It is a patented process that intercepts resources from the food supply chain to create zero-impact eco-designed 3D printed products.,+39 348 554 7594,info@krilldesign.net,https://www.linkedin.com/company/krill-design-milano/,https://www.krilldesign.net,,,,,2018-01-01,year,Active,Krill Design is a design studio that develops design circular products.,$1M to $10M,20139,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Brera Holdings,https://www.crunchbase.com/organization/brera-holdings,Public,For Profit,"Soccer, Sports",,"Milan, Lombardia, Italy","9,475",,"8,028",BREA,https://www.crunchbase.com/ipo/brera-holdings-ipo--07bacd9c,9.0,,,NASDAQ,,,,7500000.0,USD,7500000.0,,,2023-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IPO,,Daniel McClory,1.0,Sports,,,,,,"Brera Holdings PLC is an Irish holding company focused on growing social impact football (American soccer) through the development of a global portfolio of emerging football clubs with increased opportunities to win tournament prizes, gain sponsorships, and provide other professional football and related consulting services. The Company intends to build on the legacy and brand of Brera FC, the Company's first football club acquisition. Brera FC, also known as ""The Third Team of Milan"".",+39 0236537729,info@breramilanogroup.com,,https://www.breraholdings.com,,,2023-01-27,day,2022-01-01,year,Active,Brera Holdings is an Irish holding company dedicated to expanding social impact football through the development of consulting.,$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ICONIUM,https://www.crunchbase.com/organization/iconium,Private,For Profit,"Asset Management, Blockchain, Cryptocurrency",1-10,"Milan, Lombardia, Italy","15,582",,"13,530",,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,EUR,5716376.0,Seed,5000000.0,EUR,5716376.0,Seed,5000000.0,EUR,5716376.0,2018-11-07,Seed,1.0,"Antonio Chiarello, Domenico Laudonia, Fabio Pezzotti, Luciano Serra, Marco Costa, Mauro Del Rio, Thomas Baggio",7.0,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",,,,"Early Stage Venture, Initial Coin Offering, Seed","Private Equity Firm, Venture Capital","We back the most revolutionary industry since the birth of the Internet: Blockchain, Cryptocurrencies, Digital Assets, with a team dedicated to the identification, development and selection of the best projects and opportunities in the world. We also support operationally projects with 360 degrees services to start and grow successful blockchain protocols and dAPPS.",,contact@iconium.it,https://www.linkedin.com/company/iconium.it/,http://www.iconium.it,,,,,2018-01-10,day,Active,ICONIUM is backing the best Blockchain-based token sales and invest in digital assets Worldwide.,,20121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",33.0
Smartpricing,https://www.crunchbase.com/organization/smartpricing,Private,For Profit,"Computer, Software",101-250,"Riva Del Garda, Trentino-Alto Adige, Italy","16,726",,"14,538",,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,"Partech, Fabrick, Azimut Digitech Fund, The Techshop, GELLIFY",17187920.0,USD,17187920.0,Series A,13000000.0,EUR,14181055.0,Series A,13000000.0,EUR,14181055.0,2023-12-15,Early Stage Venture,3.0,"Eugenio Bancaro, Luca Rodella, Tommaso Centonze",3.0,"Consumer Electronics, Hardware, Software",,,,,,Smartpricing is a provider of computer software application and revenue management system solutions to Hotel.,,,https://www.linkedin.com/company/smartpricing-it/about/,https://www.smartpricing.it/,,,,,2020-01-01,month,Active,Smartpricing is a provider of computer software application and revenue management system solutions to Hotel.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Unobravo | Telehealth & psychology,https://www.crunchbase.com/organization/unobravo,Private,For Profit,"Health Care, mHealth, Psychology, Therapeutics",1001-5000,"Napoli, Campania, Italy","18,292",,"15,985",,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,"Insight Partners, Cassa Depositi e Prestiti, CDP Equity, SocialFare, Thomas Plantenga",17150000.0,EUR,17553614.0,Series A,17000000.0,EUR,17374774.0,Series A,17000000.0,EUR,17374774.0,2022-07-21,Early Stage Venture,3.0,Danila De Stefano,1.0,"Health Care, Mobile",,,,,,"Unobravo is a platform that matches people looking for psychological support with the therapist best suited to support them, facilitates the therapy journey via video calls, and helps therapists run their practices more efficiently. The therapists we work with are all licensed psychologists and are carefully selected by our team. Our matching algorithm is deeply rooted in the clinical experience of our team and takes into account on one hand the clinical need and personal preferences of the patient, and on the other the expertise of the therapist. Unobravo was founded in 2019. In June 2023 it counts 3100+ therapists, 100.000+ patients and over a million therapy sessions. Unobravo leads Italian market and is scaling up the Spanish one (under the brand ""Buencoco"").",,info@unobravo.com,https://www.linkedin.com/company/20481542/,https://www.unobravo.com/,,,,,2019-08-08,day,Active,Unobravo is a platform that matches people looking for psychological support with the therapist best suited to support them.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Spoki,https://www.crunchbase.com/organization/spoki,Private,For Profit,"Customer Service, E-Commerce, Marketing, PaaS, SaaS, Sales, Software",11-50,"San Vito Dei Normanni, Puglia, Italy","19,757",,"17,317",,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,"CDP Venture Capital, BlackSheep Ventures, Finint Investments, Apside",5500000.0,EUR,5723824.0,Series A,5500000.0,EUR,5723824.0,Series A,5500000.0,EUR,5723824.0,2025-01-21,Early Stage Venture,1.0,"Fausto Pagliara, Giorgio Pagliara",2.0,"Commerce and Shopping, Other, Professional Services, Sales and Marketing, Software",,,,,,"Spoki helps businesses increase sales thanks to WhatsApp. Emails are no more a valid communication channel between businesses and customers. Spoki helps businesses engage their customers using WhatsApp during the whole customer journey: marketing, sales and customer support. Spoki is a WhatsApp conversational platform that allows you to:  - send bulk marketing messages to thousands customers with a click - integrate WhatsApp with:  - Ecommerce to notify abandoned cart, tracking number and order status  - Marketing Automation Tools or CRM to add it to sales funnels   - Social and Digital ADS to catch users in the exact moment expressing their interest in products and services - create automations and chatbots, for customer support or whatever you can think of If you are confident with the results you get today with emails, you'll be amazed at what you can achieve with Spoki.",,info@spoki.it,https://www.linkedin.com/company/spokiapp/,https://spoki.it,,,,,2021-01-01,day,Active,WhatsApp Conversational Platform,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Aindo,https://www.crunchbase.com/organization/aindo,Private,For Profit,"Artificial Intelligence (AI), Machine Learning",11-50,"Trieste, Friuli-Venezia Giulia, Italy","24,694",,"21,863",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,"United Ventures, Vertis, European Data Incubator, Vertis Venture 3 Tech Transfer",8900000.0,EUR,9598718.0,Series A,6000000.0,EUR,6322678.0,Series A,6000000.0,EUR,6322678.0,2023-10-18,Early Stage Venture,3.0,"Borut Svara, Daniele Panfilo, Sebastiano Saccani",3.0,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,,,,"At Aindo, our mission is to enable Artificial Intelligence (AI) to add value to society while respecting people's rights and freedoms. We achieve this mission through the Aindo Synthetic Data Platform. Synthetic data form a revolutionary new paradigm in privacy protection and fairness. They are hyper-realistic, yet artificial and devoid of sensitive information. They replace personal data or rebalance biased datasets for safe and fair analysis. Synthetic data allows us to responsibly seize the wealth of opportunities AI presents. This is invaluable in sectors such as healthcare, finance, infrastructure, and policymaking. Aindo is one of the first teams dedicated to synthetic data. We actively further the state-of-the-art. Our platform’s best-in-class performance and advanced capabilities reflect this. We offer an effortless user-experience. This allows both experts and non-experts to integrate synthetic data directly in their data projects, even when their data assets are siloed; unstructured; unlabeled; and contain advanced data types and formats.",+39 040 375 5640,info@aindo.ai,https://www.linkedin.com/company/aindo/,http://www.aindo.ai/,,,,,2018-06-27,day,Active,"At Aindo, our mission is to enable Artificial Intelligence (AI) to add value to society while respecting people's rights and freedoms.",,34149,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Skillvue,https://www.crunchbase.com/organization/algo-ai-s-r-l,Private,For Profit,"Artificial Intelligence (AI), Information Technology, Software",11-50,"Milan, Lombardia, Italy","25,332",,"22,448",,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,"K Fund, 14Peaks Capital, Italian Founders Fund, Orbita Verticale, Ithaca 3",3330141.0,USD,3330141.0,Pre-Seed,2500000.0,EUR,2762141.0,Pre-Seed,2500000.0,EUR,2762141.0,2024-09-03,Seed,2.0,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,,,,"Skillvue is the AI-based skills analysis platform that helps you identify the right candidates for your company, reducing time and costs.",3272099235,,https://www.linkedin.com/company/skillvue,https://www.skillvue.ai,,,,,2021-03-04,day,Active,Skillvue is based on behavioral event interviews widely used by HR professionals to assess candidate’s skills.,,20123,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
FABA,https://www.crunchbase.com/organization/faba-5598,Private,For Profit,"Audiobooks, Consumer Electronics, Consumer Goods, EBooks, Education, Podcast, Publishing, Toys",11-50,"Treviso, Veneto, Italy","25,603",,"22,703",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,"CDP Venture Capital, Oltre Impact, Ad4Ventures",8200000.0,EUR,8457802.0,Venture - Series Unknown,4500000.0,EUR,4686817.0,Venture - Series Unknown,4500000.0,EUR,4686817.0,2025-01-23,,2.0,"Alessio Polo, Chiara Gava, Francesco Poloniato, Matteo Fabbrini",4.0,"Consumer Electronics, Consumer Goods, Content and Publishing, Education, Hardware, Media and Entertainment, Music and Audio",,,,,,"FABA is an interactive platform designed for children whose audio content educates and entertains without the need for screens. FABA's objective is to become the reference brand in the edutainment market by promoting the union between smart toys and audio editorial content, dedicated to children ranging from 0 to 10 years old. FABA aims to be the first smart toy to enter a child's bedroom, and then accompany them as they grow. FABA is designed by the children of yesterday for the adults of tomorrow",+390422447600,info@myfaba.com,https://www.linkedin.com/company/faba-il-tuo-raccontastorie/,https://www.myfaba.com/,,,,,2019-05-01,day,Active,FABA is a startup dedicated to the development of products that stimulate children's imagination.,,31050,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Limenet,https://www.crunchbase.com/organization/limenet-tech,Private,For Profit,Energy,11-50,"Lecco, Lombardia, Italy","26,453",,"23,470",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,"Moonstone, COREangels Climate, remove's Accelerator Program, AitherCO2",7710343.0,USD,7710343.0,Seed,5000000.0,EUR,5524282.0,Seed,5000000.0,EUR,5524282.0,2024-09-03,Seed,3.0,"Enrico Noseda, Giovanni Cappello, Stefano Cappello",3.0,Energy,,,,,,CO2 Storage,,info@limenet.tech,https://www.linkedin.com/company/limenet-tech/,https://limenet.tech/en/,,,,,2023-03-10,day,Active,Limenet is a climate tech benefit company that has patented an innovative technology for storing CO2 in calcium bicarbonates into seawater,,23851,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
