Organization Name,Organization Name URL,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Employees,Monthly Visits,Headquarters Regions,Postal Code,Diversity Spotlight,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Contact Job Departments,Number of Contacts,Number of Private Contacts,Average Visits (6 months),Monthly Visits Growth,Estimated Revenue Range,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Number of Alumni,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
20lines,https://www.crunchbase.com/organization/20lines,"20lines is a website and a mobile app where users write, read and share short stories. Their goal is to connect writers and readers around the concept of free short stories. They aim at becoming the “Instagram” for short stories.  On 20lines everyone can easily share their stories, from the teenagers writing their daily journal for their friends to the important authors who want to share the preview of their next book with their audience.",http://20lines.com,"Education, Parenting, Publishing","Roncade, Veneto, Italy","20lines is a web and mobile application for users to write, read, and share short stories.","925,584",2012-01-01,year,1-10,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",31056,,Closed,2018-11-09,day,,none,For Profit,http://twitter.com/20lines,https://www.facebook.com/20ines/,https://www.linkedin.com/company/20lin-es,info@20lin.es,39 3497 10 37 47,,,,,,,,,,,,,,,,"Community and Lifestyle, Content and Publishing, Education, Media and Entertainment",4,"Alessandro Biggi, Francesco Scalambrino, Marco Pugliese, Pietro Pollichieni",3,M&A,2014-06-01,800000,USD,800000,Seed,,,,,,$1M to $10M,,,,,,,800000,USD,800000,Seed,1245557,USD,1245557,1245557,USD,1245557,"United Ventures, Club Italia Investimenti 2, H-FARM, Massimiliano Magrini",,4
2ASPIRE,https://www.crunchbase.com/organization/2aspire,"2ASPIRE comes from an idea elaborated by the team while working on a research project in the Software Engineering unit at Fondazione Bruno Kessler (FBK). FBK is not only a widely known research center located in Trento, Italy, but also a stimulating place to make brilliant intuitions become first ideas and then solutions. 2ASPIRE was born with the intention of exploiting the awesome results of ASPIRE, a research project of 3 years (2013-2016) funded by the European Union. The project was a success, putting together European excellences from academia and industry to bring mobile software protections to the next new level. In concrete, ASPIRE involved FBK, and the Software Engineering research unit, with the objective of elaborating and integrating novel and strong protection approaches to defend smartphone apps against tampering attacks.",http://www.2aspire.eu,"Apps, Information Technology, Mobile, Mobile Apps, Software","Trento, Trentino-Alto Adige, Italy","A security solution for mobile developers, to help them in protecting their incomes from cyber criminals.","2,920,717",2016-01-01,year,1-10,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",38122,,Closed,,,,none,For Profit,,https://www.facebook.com/2aspire.eu,https://www.linkedin.com/company/10981002,INFO@2ASPIRE.EU,,,,,,,,,,,,,,,,,"Apps, Information Technology, Mobile, Software",,,,,,,,,,,,,,,$1M to $10M,,,,,,,,,,,,,,,,,,,
2eeet,https://www.crunchbase.com/organization/2eeet,,http://www.2eeet.com,"Apps, Food and Beverage","Treviso, Veneto, Italy",the crispiest app to order pizza,"3,535,266",2016-09-06,day,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,,,,none,For Profit,https://www.twitter.com/2eeet_app,https://www.facebook.com/2eeet,,contact@2eeet.com,,,,,,,,,,,,,,,,,"Apps, Food and Beverage, Software",2,"isaac rallo, Matteo Benetti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Italia,https://www.crunchbase.com/organization/3-italy,"3 Italia (Tre Italia) was an Italian telecommunications company of the Hutchison Whampoa group, which offered mobile telephony services. It was founded as Andala in 1999 by Tiscali, Franco Bernabè and Sanpaolo IMI, and in 2000 was acquired by Hutchison Whampoa. On 31 December 2016 it merged with Wind Telecomunicazioni into Wind Tre, a joint venture equally controlled by CK Hutchison Holdings (formerly Hutchison Whampoa) and VimpelCom. However, the brand remained active until 16 March 2020, the date on which the new joint venture adopted the unified brand.",https://www.tre.it/,Telecommunications,"Trezzano Sul Naviglio, Lombardia, Italy",3 Italia operated as a telecommunications company.,"1,175,637",1999-11-01,month,1001-5000,"14,550","European Union (EU), Europe, Middle East, and Africa (EMEA)",20090,,Closed,2015-08-06,day,2020-03-16,day,For Profit,https://twitter.com/Tre_It,https://www.facebook.com/3Italia,https://www.linkedin.com/company/h3g/,,,,,,,,,,,,,,,,,,Hardware,,,,M&A,,,,,,"Engineering, Operations",2,,,43.08%,,,,,,,,,,,,,,,,,,,,
302 Original Content,https://www.crunchbase.com/organization/302-original-content,"302 Original Content is an independent film and television production company.302 Original Content is an incubator of ideas, projected towards the national and international market.",https://302originalcontent.it,"Film, Film Production, Video","Milano, Lombardia, Italy",302 Original Content is an independent film and television production company.,"2,269,428",2021-01-01,year,11-50,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",20132,,Closed,2022-08-04,day,,none,For Profit,https://twitter.com/302Content,https://www.facebook.com/302originalcontent,https://www.linkedin.com/company/302originalcontent,info@302original.it,+39 02 281871,,,,,,,,,,,,,,,,"Media and Entertainment, Video",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3CI,https://www.crunchbase.com/organization/3ci,"In D.O.C. wines the process must be validated by external laboratories which certify the product and approve for admission and retention of the mark. The biosensor DiVino is a wine measuring instrument that allows you to control the various parameters of wine comfortably in the cellar, thereby allowing you to have control any time of the malic and lactic transformation, the reducing sugars and the ethanol. A truly innovative tool that works in a simple and precise way and thereby allowing you to monitor the entire production cycle with considerable savings in time and costs. Five tests in one instrument: The biosensor DiVino is the first measuring instrument that allows to run a series of tests with the same appliance. Just dilute the wine with water, add a specific amount of reagent solution, add a drop or two into the funnel cell and then select the on the keyboard the analyse that has to be measured. Wait a few minutes and the value (in g/l or %/vol) appears on the display. Measures: Glucose Fructose Glucose + fructose Malic acid Lactic acid (L, D, L + D) Reducing sugars The advantage for you? You can keep the quality of your wine under control whenever you want and at extremely low costs. Measurements are performed by a properly sized biosensor in a portable and compact size for use.",http://www.3ci.bz.it/en-US/Products.html,"Biotechnology, Hardware, Health Care, Manufacturing, Wine And Spirits","Bolzano, Friuli-Venezia Giulia, Italy","3CI offers Divine, a measurement tool for the analysis of reducing sugars, malic acid, lactic acid, and ethanol in wine.","1,846,936",2008-01-01,year,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",39100,,Closed,,,,none,For Profit,,,,,,,,,,,,,,,,,,,,,"Biotechnology, Food and Beverage, Hardware, Health Care, Manufacturing, Science and Engineering",,,1,,2011-01-01,100000,EUR,133737,Grant,,,,,,,,,,,,,,,,,,,,100000,EUR,133737,,,
3ding Consulting,https://www.crunchbase.com/organization/3ding-consulting,,http://www.3dingconsulting.com,"Advertising, Consulting, Mobile, Social Media","Cuneo, Piemonte, Italy",3ding Consulting is a new media agency that helps companies with online and mobile marketing using the latest technologies.,"3,097,034",2006-01-01,year,11-50,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",12037,,Closed,,,,none,For Profit,https://www.twitter.com/3dingconsulting,https://www.facebook.com/3dingconsulting,https://www.linkedin.com/company/2014812,info@3dingconsulting.com,+39 0175 41107,,,,,,,,,,,,,,,,"Advertising, Internet Services, Media and Entertainment, Mobile, Professional Services, Sales and Marketing",,,,,,,,,,,,,,,Less than $1M,,,,,,,,,,,,,,,,,,,
3net,https://www.crunchbase.com/organization/3net,,http://www.3-net.org,3D Technology,"Roma, Lazio, Italy",3net was an American 3D television channel.,"2,404,262",2011-02-13,day,51-100,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,,,2014-08-12,day,For Profit,,,https://www.linkedin.com/company/3-net,cv@3net.srl,+39 02 84562099,,,,,,,,,,,,,,,,"Hardware, Software",,,,,,,,,,,,,,,$1M to $10M,,,,,,,,,,,,,,,,,,,
46Sports,https://www.crunchbase.com/organization/46sports,Il Primo Almanacco Digitale Interattivo per sportivi non professionisti Seguici su http://facebook.com/46Sports,http://46sports.com,Sports,"Bologna, Emilia-Romagna, Italy",Il Primo Almanacco Digitale Interattivo per sportivi non professionisti Seguici su http://facebook.com/46Sports,"3,491,011",2012-01-01,year,1-10,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",40014,,Closed,,,,none,For Profit,http://twitter.com/46_Sports,http://www.facebook.com/46Sports,http://www.linkedin.com/company/46sports,,,,,,,,,,,,,,,,,,Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A&P Consulting,https://www.crunchbase.com/organization/a-p-consulting,"A&P Consulting is an erwin company that offers high-impact corporate and data governance consulting services. The company has more than 15 years of experience providing integrated governance solutions to some of Italy’s largest organizations such as the government, telecom and energy providers, major retailers, infrastructure providers and insurance companies. Some of their services include: Enterprise Architecture, Business Process Modeling, Data Modeling, Governance, Risk and Compliance and Technology Consulting. ",http://www.aepconsulting.it/en/,"Compliance, Data Governance, Government, Information Services, Information Technology, Management Information Systems","Roma, Lazio, Italy",A&P Consulting is an erwin company that offers high-impact corporate and data governance consulting services.,"998,110",2000-01-01,year,11-50,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,2018-01-12,day,2018-01-12,day,For Profit,https://twitter.com/AePCons,,https://www.linkedin.com/company/a-&-p-consulting/,,(+39) 0689929040,,,,,,,,,,,,,,,,"Data and Analytics, Government and Military, Information Technology, Professional Services",,,,M&A,,,,,,Engineering,4,,,,,,,,,,,,,,,,,,,,,,,
AB naturale,https://www.crunchbase.com/organization/ab-naturale,,http://www.abnaturale.com,"Beauty, Cosmetics","Lecce, Puglia, Italy",Care and wellness products based on Aole Vera and Olive Oil,"3,561,438",2012-01-01,year,251-500,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,,,,none,For Profit,https://twitter.com/abnaturale,https://www.facebook.com/abnaturale/,https://www.linkedin.com/company/9353644/,,,,,,,,,,,,,,,,,,Consumer Goods,,,,,,,,,,,,,,,Less than $1M,,,,,,,,,,,,,,,,,,,
Aba Service Srl,https://www.crunchbase.com/organization/aba-service-srl,,http://www.abaservice.net,,"Desio, Lombardia, Italy","ABA SERVICE is owner, creator and exclusive distributor of BIJOUX.","3,674,300",2001-01-01,year,11-50,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",20832,,Closed,,,,none,For Profit,,,https://www.linkedin.com/company/aba-service-s-r-l-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M,,,,,,,,,,,,,,,,,,,
Abaco Servizi,https://www.crunchbase.com/organization/abaco-servizi,,http://www.abacoservizisrl.it,"IT Management, Software","Cerignola, Puglia, Italy","Abaco delivers IT services as well as develops software regarding Polyedro, Lyfnfa studio, Multi suite and Pay service.","3,689,926",2013-07-25,day,1-10,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,,,,none,For Profit,,,,info@abacoservizisrl.it,39-0885423021,,,,,,,,,,,,,,,,"Information Technology, Software",,,,,,,,,,,,,,,Less than $1M,,,,,,,,,,,,,,,,,,,
