,Ragione sociale,BvD ID number,Codice fiscale,Numero CCIAA,Partita IVA,Indirizzo sede legale,Provincia,Indirizzo sede legale - Codice postale,Indirizzo sede legale - Regione,Sede operativa,Sede operativa - Provincia,Sede operativa - Codice postale,Sede operativa - Regione - Regione,"ATECO 2007
codice",Anno di costituzione,Fondazione,Stato giuridico,Forma giuridica
1.,ADI SERVIZI MARITTIMI S.R.L.,IT10354920968,10354920968,MI2525097,10354920968,"VLE CERTOSA, 239",Milano,20151,Lombardia,VIALE CERTOSA 239,Milano,20151,LOMBARDIA,502000,18/05/2018,,Attiva (Stato di insolvenza),S.R.L.
2.,ACCIAIERIE D'ITALIA S.P.A.,IT10354890963,10354890963,MI2525101,10354890963,"VLE CERTOSA, 239",Milano,20151,Lombardia,VIALE CERTOSA 239,Milano,20151,LOMBARDIA,241000,18/05/2018,,Attiva (Stato di insolvenza),S.P.A.
3.,ADI ENERGIA S.R.L.,IT10354910969,10354910969,MI2525096,10354910969,"VLE CERTOSA, 239",Milano,20151,Lombardia,VIALE CERTOSA 239,Milano,20151,LOMBARDIA,351100,18/05/2018,,Attiva (Stato di insolvenza),S.R.L.
4.,TECUM SOCIETA' COOPERATIVA SOCIALE,IT15907261000,15907261000,RM1622339,15907261000,"PZA VITTORIO EMANUELE II, 138",Roma,00185,Lazio,,,,,881000,03/11/2020,,In liquidazione,S.C.A.R.L.P.A.
5.,ITALMETAL GROUP SRL IN LIQUIDAZIONE,IT14825331003,14825331003,PR0285439,14825331003,"PZA SISTO ROSA BADALOCCHIO, 9/B",Parma,43126,Emilia-Romagna,PIAZZA SISTO ROSA BADALOCCHIO 9/B,Parma,43126,EMILIA-ROMAGNA,479110,01/06/2018,,In liquidazione,S.R.L.
6.,AMG SOCIETA' COOPERATIVA A RESPONSABILITA' LIMITATA IN LIQUIDAZIONE,IT10867020967,10867020967,MI2562745,10867020967,"VIA LODOVICO IL MORO, 115",Milano,20143,Lombardia,,,,,522922,12/06/2019,,In liquidazione,S.C.A.R.L.P.A.
7.,CONSORZIO CEA,IT04019590985,04019590985,BS0582127,04019590985,"VIA GUGLIELMO MARCONI, 85/91",Brescia,25036,Lombardia,,,,,412000,17/07/2018,,In liquidazione,Consorzio
8.,GKN HYDROGEN S.R.L. IN LIQUIDAZIONE/LIQUIDATION,IT03152630210,03152630210,BZ0236496,03152630210,"VIA BACHLA, 6/C",Bolzano/Bozen,39030,Trentino-Alto Adige/Südtirol,BACHLA 6/C,Bolzano/Bozen,39030,TRENTINO-ALTO,642000,07/02/2022,,In liquidazione,S.R.L.
9.,DEVELOG 5 S.R.L.,IT11188100967,11188100967,MI2585275,11188100967,"VIA FRATELLI GABBA, 6",Milano,20121,Lombardia,,,,,411000,12/02/2020,,Attiva,S.R.L.
10.,AD MAIORA S.R.L. IN LIQUIDAZIONE,IT11194410962,11194410962,MI2586137,11194410962," MISSAGLIA, 89",Milano,20142,Lombardia,,,,,451101,17/02/2020,,In liquidazione,S.R.L.
11.,WIDE OPEN S.R.L. IN LIQUIDAZIONE,IT11486360966,11486360966,MI2606335,11486360966,"VIA SANTA SOFIA, 27",Milano,20122,Lombardia,,,,,642000,26/11/2020,,In liquidazione,S.R.L.
12.,SCOBI S.P.A. IN LIQUIDAZIONE,IT10227400966,10227400966,MI2514827,10227400966,"CSO ITALIA, 22",Milano,20122,Lombardia,CORSO ITALIA 22,Milano,20122,LOMBARDIA,642000,08/02/2018,,In liquidazione,S.P.A.
13.,SIM RANDRIDGE S.R.L. - IN LIQUIDAZIONE,IT10362540964,10362540964,MI2525469,10362540964,"VLE ABRUZZI, 94",Milano,20131,Lombardia,,,,,332009,17/05/2018,,In liquidazione,S.R.L.
14.,CAPITOLOVENTITRE S.P.A. IN LIQUIDAZIONE,IT10379240962,10379240962,MI2526899,10379240962,"VIA PALEOCAPA PIETRO, 5",Milano,20121,Lombardia,,,,,642000,06/06/2018,,In liquidazione,S.P.A.
15.,M&CL S.P.A. IN LIQUIDAZIONE,IT12089280015,12089280015,MI2748987,12089280015,"VIA ALESSANDRO MANZONI, 42",Milano,20121,Lombardia,,,,,642000,25/03/2019,,In liquidazione,S.P.A.
16.,BLACK ONYX S.R.L. IN LIQUIDAZIONE,IT05376350285,05376350285,PD0463194,05376350285," BORROMEO, 3",Padova,35137,Veneto,,,,,682001,26/04/2021,,In liquidazione,S.R.L.
17.,COOTEP S.C.A R.L.,IT03956070928,03956070928,RE0326265,03956070928,"VIA ROCHDALE, 5",Reggio nell'Emilia,42122,Emilia-Romagna,,,,,811000,01/04/2021,,In liquidazione,Società consortile a responsabilita' limitata
18.,DB INVESTMENTS S.R.L. IN LIQUIDAZIONE,IT14792811003,14792811003,RM1546214,14792811003,"VIA RUBICONE, 8",Roma,00198,Lazio,VIA RUBICONE 8,Roma,00198,LAZIO,701000,10/05/2018,,In liquidazione,S.R.L.
19.,BAHIA SHIPPING S.R.L. IN LIQUIDAZIONE,IT15372041002,15372041002,RM1586189,15372041002,"VIA GIOVANNI BATTISTA MARTINI, 2",Roma,00198,Lazio,VIA GIOVANNI BATTISTA MARTINI 2,Roma,00198,LAZIO,642000,25/07/2019,,In liquidazione,S.R.L.
20.,ATLANTICA ENERGIA SRL IN LIQUIDAZIONE,IT04561470230,04561470230,RO0433706,04561470230,"VIA ZONA INDUSTRIALE, 40",Rovigo,45010,Veneto,VIA GIUSEPPE LUIGI LAGRANGE 1,Roma,00197,LAZIO,467100,19/04/2018,,In liquidazione,S.R.L.
21.,COGES S.R.L. IN LIQUIDAZIONE,IT01394790404,01394790404,RN0194220,03990300489," FIERA, 121",Rimini,47923,Emilia-Romagna,VIA DELLA FIERA 121,Rimini,47923,EMILIA-ROMAGNA,649209,13/04/2022,,In liquidazione,S.R.L.
22.,PININFARINA ENGINEERING S.R.L. IN LIQUIDAZIONE,IT11917870013,11917870013,TO1250630,11917870013,"CSO MONTEVECCHIO RODOLFO GABRIELLI,",Torino,10129,Piemonte,,,,,291000,14/05/2018,,In liquidazione,S.R.L.
23.,SOCIETA' PER LA ORGANIZZAZIONE DEI CAMPIONATI EUROPEI DI NUOTO 2022 - EUROPEAN AQUATICS CHAMPIONSHIPS 2022 S.R.L. IN LIQUIDAZIONE,IT16188691006,16188691006,RM1640288,16188691006,"PZA LAURO DE BOSIS, 3",Roma,00135,Lazio,,,,,931910,11/05/2021,,In liquidazione,S.R.L.
24.,MECH JOINT S.R.L. IN LIQUIDAZIONE,IT12503860012,12503860012,TO1294886,12503860012,"VIA DELL'ARCIVESCOVADO, 1",Torino,10121,Piemonte,,,,,293209,14/05/2021,,In liquidazione,S.R.L.
